"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
16:24:45,27363,Game,19.00,488542208,0.00,0.00
16:24:45,27295,World,46.00,268746752,0.00,0.00
16:24:45,27327,Game,18.00,749142016,0.00,0.00
16:24:45,27426,DB,2.00,51609600,0.00,0.00
16:24:45,27345,Game,13.00,458293248,0.00,0.00
16:24:45,27318,Game,16.00,805806080,0.00,0.00
16:24:46,27363,Game,17.00,488550400,0.00,0.00
16:24:46,27295,World,46.00,268746752,0.00,0.00
16:24:46,27327,Game,17.00,749142016,0.00,0.00
16:24:46,27426,DB,4.00,51609600,0.00,0.00
16:24:46,27345,Game,12.00,458293248,0.00,0.00
16:24:46,27318,Game,14.00,805806080,0.00,0.00
16:24:47,27363,Game,15.00,488558592,0.00,0.00
16:24:47,27295,World,42.00,268746752,0.00,232.00
16:24:47,27327,Game,16.00,749142016,0.00,0.00
16:24:47,27426,DB,2.00,51609600,0.00,0.00
16:24:47,27345,Game,16.00,458293248,0.00,0.00
16:24:47,27318,Game,14.00,805806080,0.00,0.00
16:24:48,27363,Game,15.00,488570880,0.00,0.00
16:24:48,27295,World,45.00,268746752,0.00,234.00
16:24:48,27327,Game,17.00,749142016,0.00,0.00
16:24:48,27426,DB,2.00,51609600,0.00,0.00
16:24:48,27345,Game,15.00,458293248,0.00,0.00
16:24:48,27318,Game,16.00,805806080,0.00,0.00
16:24:49,27363,Game,15.00,488583168,0.00,0.00
16:24:49,27295,World,43.00,268746752,0.00,0.00
16:24:49,27327,Game,16.00,749142016,0.00,0.00
16:24:49,27426,DB,3.00,51609600,0.00,0.00
16:24:49,27345,Game,13.00,458293248,0.00,0.00
16:24:49,27318,Game,16.00,805806080,0.00,0.00
16:24:50,27363,Game,16.00,488591360,0.00,0.00
16:24:50,27295,World,41.00,268746752,0.00,0.00
16:24:50,27327,Game,18.00,749142016,0.00,0.00
16:24:50,27426,DB,4.00,51609600,0.00,0.00
16:24:50,27345,Game,13.00,458293248,0.00,0.00
16:24:50,27318,Game,15.00,805806080,0.00,0.00
16:24:51,27363,Game,19.00,488628224,0.00,0.00
16:24:51,27295,World,45.00,268746752,0.00,0.00
16:24:51,27327,Game,15.00,749142016,0.00,0.00
16:24:51,27426,DB,4.00,51609600,0.00,0.00
16:24:51,27345,Game,13.00,458293248,0.00,0.00
16:24:51,27318,Game,15.00,805806080,0.00,0.00
16:24:52,27363,Game,17.00,488632320,0.00,0.00
16:24:52,27295,World,43.00,268746752,0.00,0.00
16:24:52,27327,Game,15.00,749142016,0.00,0.00
16:24:52,27426,DB,3.00,51609600,0.00,0.00
16:24:52,27345,Game,15.00,458293248,0.00,0.00
16:24:52,27318,Game,16.00,805806080,0.00,0.00
16:24:53,27363,Game,16.00,488636416,0.00,0.00
16:24:53,27295,World,44.00,268746752,0.00,0.00
16:24:53,27327,Game,16.00,749142016,0.00,0.00
16:24:53,27426,DB,4.00,51609600,0.00,0.00
16:24:53,27345,Game,14.00,458293248,0.00,0.00
16:24:53,27318,Game,18.00,805806080,0.00,0.00
16:24:54,27363,Game,18.00,488640512,0.00,0.00
16:24:54,27295,World,38.00,268746752,0.00,0.00
16:24:54,27327,Game,13.00,749142016,0.00,0.00
16:24:54,27426,DB,4.00,51609600,0.00,0.00
16:24:54,27345,Game,11.00,458293248,0.00,0.00
16:24:54,27318,Game,13.00,805806080,0.00,0.00
16:24:55,27363,Game,21.00,488652800,0.00,0.00
16:24:55,27295,World,46.00,268746752,0.00,0.00
16:24:55,27327,Game,17.00,749142016,0.00,0.00
16:24:55,27426,DB,5.00,51609600,0.00,0.00
16:24:55,27345,Game,13.00,458293248,0.00,0.00
16:24:55,27318,Game,16.00,805806080,0.00,0.00
16:24:56,27363,Game,20.00,488660992,0.00,0.00
16:24:56,27295,World,43.00,268746752,0.00,0.00
16:24:56,27327,Game,14.00,749142016,0.00,0.00
16:24:56,27426,DB,4.00,51609600,0.00,0.00
16:24:56,27345,Game,15.00,458293248,0.00,0.00
16:24:56,27318,Game,14.00,805806080,0.00,0.00
16:24:57,27363,Game,14.00,488669184,0.00,0.00
16:24:57,27295,World,41.00,268746752,0.00,0.00
16:24:57,27327,Game,16.00,749142016,0.00,0.00
16:24:57,27426,DB,3.00,51609600,0.00,0.00
16:24:57,27345,Game,16.00,458293248,0.00,0.00
16:24:57,27318,Game,15.00,805806080,0.00,0.00
16:24:58,27363,Game,16.00,488693760,0.00,0.00
16:24:58,27295,World,48.00,268746752,0.00,0.00
16:24:58,27327,Game,20.00,749142016,0.00,0.00
16:24:58,27426,DB,2.00,51609600,0.00,0.00
16:24:58,27345,Game,17.00,458293248,0.00,0.00
16:24:58,27318,Game,18.00,805806080,0.00,0.00
16:24:59,27363,Game,16.00,488701952,0.00,0.00
16:24:59,27295,World,41.00,268746752,13.00,337.00
16:24:59,27327,Game,16.00,749142016,0.00,0.00
16:24:59,27426,DB,4.00,51609600,13.00,337.00
16:24:59,27345,Game,14.00,458293248,0.00,0.00
16:24:59,27318,Game,12.00,805806080,26.00,4324.00
16:25:00,27363,Game,17.00,488714240,0.00,102.00
16:25:00,27295,World,47.00,268746752,0.00,0.00
16:25:00,27327,Game,18.00,749142016,0.00,103.00
16:25:00,27426,DB,3.00,51609600,66.00,4462.00
16:25:00,27345,Game,14.00,458293248,0.00,102.00
16:25:00,27318,Game,19.00,805806080,0.00,102.00
16:25:01,27363,Game,18.00,488718336,0.00,0.00
16:25:01,27295,World,51.00,268746752,0.00,0.00
16:25:01,27327,Game,17.00,749142016,0.00,0.00
16:25:01,27426,DB,3.00,51609600,0.00,0.00
16:25:01,27345,Game,18.00,458293248,0.00,0.00
16:25:01,27318,Game,15.00,805806080,0.00,0.00
16:25:02,27363,Game,16.00,488722432,0.00,0.00
16:25:02,27295,World,43.00,268746752,0.00,0.00
16:25:02,27327,Game,17.00,749142016,0.00,0.00
16:25:02,27426,DB,3.00,51609600,0.00,0.00
16:25:02,27345,Game,17.00,458293248,0.00,0.00
16:25:02,27318,Game,16.00,805806080,0.00,0.00
16:25:03,27363,Game,14.00,488726528,0.00,0.00
16:25:03,27295,World,43.00,268746752,0.00,117.00
16:25:03,27327,Game,18.00,749142016,0.00,0.00
16:25:03,27426,DB,3.00,51609600,0.00,0.00
16:25:03,27345,Game,14.00,458293248,0.00,0.00
16:25:03,27318,Game,16.00,805806080,0.00,0.00
16:25:04,27363,Game,15.00,488730624,0.00,0.00
16:25:04,27295,World,43.00,268746752,0.00,0.00
16:25:04,27327,Game,16.00,749142016,0.00,0.00
16:25:04,27426,DB,3.00,51609600,0.00,0.00
16:25:04,27345,Game,13.00,458293248,0.00,0.00
16:25:04,27318,Game,16.00,805806080,0.00,0.00
16:25:05,27363,Game,19.00,488738816,0.00,0.00
16:25:05,27295,World,47.00,268746752,0.00,0.00
16:25:05,27327,Game,17.00,749142016,0.00,0.00
16:25:05,27426,DB,2.00,51609600,0.00,0.00
16:25:05,27345,Game,16.00,458293248,0.00,0.00
16:25:05,27318,Game,16.00,805806080,0.00,0.00
16:25:06,27363,Game,19.00,488755200,0.00,0.00
16:25:06,27295,World,46.00,268746752,0.00,0.00
16:25:06,27327,Game,16.00,749142016,0.00,0.00
16:25:06,27426,DB,4.00,51609600,0.00,0.00
16:25:06,27345,Game,14.00,458293248,0.00,0.00
16:25:06,27318,Game,17.00,805806080,0.00,0.00
16:25:07,27363,Game,17.00,488759296,0.00,0.00
16:25:07,27295,World,45.00,268746752,0.00,117.00
16:25:07,27327,Game,17.00,749142016,0.00,0.00
16:25:07,27426,DB,3.00,51609600,0.00,0.00
16:25:07,27345,Game,14.00,458293248,0.00,0.00
16:25:07,27318,Game,16.00,805806080,0.00,0.00
16:25:08,27363,Game,15.00,488767488,0.00,0.00
16:25:08,27295,World,47.00,268746752,0.00,0.00
16:25:08,27327,Game,16.00,749142016,0.00,0.00
16:25:08,27426,DB,3.00,51609600,0.00,0.00
16:25:08,27345,Game,15.00,458293248,0.00,0.00
16:25:08,27318,Game,15.00,805806080,0.00,0.00
16:25:09,27363,Game,18.00,488771584,0.00,0.00
16:25:09,27295,World,46.00,268746752,0.00,0.00
16:25:09,27327,Game,18.00,749142016,0.00,0.00
16:25:09,27426,DB,2.00,51609600,0.00,0.00
16:25:09,27345,Game,13.00,458293248,0.00,0.00
16:25:09,27318,Game,15.00,805806080,0.00,0.00
16:25:10,27363,Game,16.00,488783872,0.00,0.00
16:25:10,27295,World,42.00,268746752,0.00,117.00
16:25:10,27327,Game,16.00,749142016,0.00,0.00
16:25:10,27426,DB,3.00,51609600,0.00,0.00
16:25:10,27345,Game,13.00,458293248,0.00,0.00
16:25:10,27318,Game,15.00,805806080,0.00,0.00
16:25:11,27363,Game,18.00,488792064,0.00,0.00
16:25:11,27295,World,43.00,268746752,0.00,0.00
16:25:11,27327,Game,14.00,749142016,0.00,0.00
16:25:11,27426,DB,2.00,51609600,0.00,0.00
16:25:11,27345,Game,16.00,458293248,0.00,0.00
16:25:11,27318,Game,13.00,805806080,0.00,0.00
16:25:12,27363,Game,14.00,488800256,0.00,0.00
16:25:12,27295,World,42.00,268746752,0.00,0.00
16:25:12,27327,Game,17.00,749142016,0.00,0.00
16:25:12,27426,DB,3.00,51609600,0.00,0.00
16:25:12,27345,Game,15.00,458293248,0.00,0.00
16:25:12,27318,Game,14.00,805806080,0.00,0.00
